normalized,variants
polymyxin b,"[""Polymyxin B""]"
propantheline,"[""Propantheline""]"
scopolamine,"[""Scopolamine""]"
streptomycin,"[""Streptomycin""]"
trospium,"[""Trospium""]"
paclitaxel,"[""Paclitaxel""]"
ascorbic acid,"[""Ascorbic acid""]"
isotretinoin,"[""Isotretinoin""]"
doxycycline,"[""Doxycycline""]"
minocycline,"[""Minocycline""]"
tetracycline,"[""Tetracycline""]"
vitamin a,"[""Vitamin A""]"
fentanyl,"[""Fentanyl""]"
alvimopan,"[""Alvimopan""]"
glycerol phenylbutyrate,"[""Glycerol phenylbutyrate""]"
lorcaserin,"[""Lorcaserin""]"
mazindol,"[""Mazindol""]"
morphine,"[""Morphine""]"
morphine liposomal,"[""Morphine (liposomal)""]"
nabilone,"[""Nabilone""]"
naloxone,"[""Naloxone""]"
opium,"[""Opium""]"
phentermine,"[""Phentermine""]"
acalabrutinib,"[""Acalabrutinib""]"
nizatidine,"[""Nizatidine""]"
ranitidine,"[""Ranitidine""]"
ranitidine bismuth citrate,"[""Ranitidine (bismuth citrate)""]"
acarbose,"[""Acarbose""]"
acetazolamide,"[""Acetazolamide""]"
albiglutide,"[""Albiglutide""]"
salbutamol,"[""Salbutamol""]"
alclometasone topical,"[""Alclometasone (topical)""]"
aloe vera leaf,"[""Aloe Vera Leaf""]"
alpelisib,"[""Alpelisib""]"
lipoic acid,"[""Lipoic acid""]"
amcinonide,"[""Amcinonide""]"
amprenavir,"[""Amprenavir""]"
anisindione,"[""Anisindione""]"
aripiprazole,"[""Aripiprazole""]"
asenapine,"[""Asenapine""]"
asparaginase erwinia chrysanthemi,"[""Asparaginase Erwinia chrysanthemi""]"
asparaginase escherichia coli,"[""Asparaginase Escherichia coli""]"
atazanavir,"[""Atazanavir""]"
bedaquiline,"[""Bedaquiline""]"
bendroflumethiazide,"[""Bendroflumethiazide""]"
benzphetamine,"[""Benzphetamine""]"
benzthiazide,"[""Benzthiazide""]"
betamethasone topical,"[""Betamethasone (topical)""]"
bortezomib,"[""Bortezomib""]"
brentuximab vedotin,"[""Brentuximab vedotin""]"
brexpiprazole,"[""Brexpiprazole""]"
brigatinib,"[""Brigatinib""]"
bumetanide,"[""Bumetanide""]"
calaspargase pegol,"[""Calaspargase pegol""]"
cannabidiol,"[""Cannabidiol""]"
cariprazine,"[""Cariprazine""]"
ceritinib,"[""Ceritinib""]"
activated charcoal,"[""Activated charcoal""]"
chlorothiazide,"[""Chlorothiazide""]"
chlorpromazine,"[""Chlorpromazine""]"
chlorthalidone,"[""Chlorthalidone""]"
chromic chloride,"[""Chromic chloride""]"
chromium picolinate,"[""Chromium picolinate""]"
cinoxacin,"[""Cinoxacin""]"
ciprofloxacin,"[""Ciprofloxacin""]"
clobetasol topical,"[""Clobetasol (topical)""]"
clocortolone topical,"[""Clocortolone (topical)""]"
clofarabine,"[""Clofarabine""]"
clozapine,"[""Clozapine""]"
conjugated estrogens,"[""Conjugated estrogens""]"
conjugated estrogens topical,"[""Conjugated estrogens (topical)""]"
copanlisib,"[""Copanlisib""]"
corticotropin,"[""Corticotropin""]"
tetracosactide,"[""Tetracosactide""]"
dabrafenib,"[""Dabrafenib""]"
danazol,"[""Danazol""]"
darunavir,"[""Darunavir""]"
deflazacort,"[""Deflazacort""]"
delafloxacin,"[""Delafloxacin""]"
desonide topical,"[""Desonide (topical)""]"
desoximetasone topical,"[""Desoximetasone (topical)""]"
dexamethasone ophthalmic,"[""Dexamethasone (ophthalmic)""]"
dexamethasone topical,"[""Dexamethasone (topical)""]"
diazoxide,"[""Diazoxide""]"
diclofenamide,"[""Diclofenamide""]"
dicoumarol,"[""Dicoumarol""]"
dienestrol topical,"[""Dienestrol (topical)""]"
diethylpropion,"[""Diethylpropion""]"
diethylstilbestrol,"[""Diethylstilbestrol""]"
diflorasone topical,"[""Diflorasone (topical)""]"
digitoxin,"[""Digitoxin""]"
digoxin,"[""Digoxin""]"
dobutamine,"[""Dobutamine""]"
dopamine,"[""Dopamine""]"
drospirenone,"[""Drospirenone""]"
efavirenz,"[""Efavirenz""]"
enfortumab vedotin,"[""Enfortumab vedotin""]"
enoxacin,"[""Enoxacin""]"
ephedrine,"[""Ephedrine""]"
epinephrine,"[""Epinephrine""]"
epirubicin,"[""Epirubicin""]"
esterified estrogens,"[""Esterified estrogens""]"
estradiol,"[""Estradiol""]"
estradiol topical,"[""Estradiol (topical)""]"
estramustine,"[""Estramustine""]"
estrone,"[""Estrone""]"
estrone sulfate,"[""Estrone sulfate""]"
estrone sulfate topical,"[""Estrone sulfate (topical)""]"
etacrynic acid,"[""Etacrynic acid""]"
ethanol,"[""Ethanol""]"
ethinylestradiol,"[""Ethinylestradiol""]"
etonogestrel,"[""Etonogestrel""]"
everolimus,"[""Everolimus""]"
fludrocortisone,"[""Fludrocortisone""]"
fluocinonide topical,"[""Fluocinonide (topical)""]"
fluphenazine,"[""Fluphenazine""]"
flurandrenolide topical,"[""Flurandrenolide (topical)""]"
fluticasone topical,"[""Fluticasone (topical)""]"
formoterol,"[""Formoterol""]"
fosamprenavir,"[""Fosamprenavir""]"
fosphenytoin,"[""Fosphenytoin""]"
furosemide,"[""Furosemide""]"
garlic,"[""Garlic""]"
gatifloxacin,"[""Gatifloxacin""]"
gemifloxacin,"[""Gemifloxacin""]"
ginseng,"[""Ginseng""]"
goserelin,"[""Goserelin""]"
grepafloxacin,"[""Grepafloxacin""]"
halcinonide topical,"[""Halcinonide (topical)""]"
ulobetasol topical,"[""Ulobetasol (topical)""]"
histrelin,"[""Histrelin""]"
hydrochlorothiazide,"[""Hydrochlorothiazide""]"
hydrocortisone topical,"[""Hydrocortisone (topical)""]"
hydroflumethiazide,"[""Hydroflumethiazide""]"
idelalisib,"[""Idelalisib""]"
iloperidone,"[""Iloperidone""]"
indacaterol,"[""Indacaterol""]"
indapamide,"[""Indapamide""]"
indinavir,"[""Indinavir""]"
interferon beta 1a,"[""Interferon beta-1a""]"
interferon beta 1b,"[""Interferon beta-1b""]"
isoniazid,"[""Isoniazid""]"
isoprenaline,"[""Isoprenaline""]"
lanreotide,"[""Lanreotide""]"
leflunomide,"[""Leflunomide""]"
leuprolide,"[""Leuprolide""]"
levonorgestrel,"[""Levonorgestrel""]"
levothyroxine,"[""Levothyroxine""]"
liothyronine,"[""Liothyronine""]"
liotrix,"[""Liotrix""]"
lithium carbonate,"[""Lithium carbonate""]"
lomefloxacin,"[""Lomefloxacin""]"
lomitapide,"[""Lomitapide""]"
lumateperone,"[""Lumateperone""]"
lurasidone,"[""Lurasidone""]"
medroxyprogesterone acetate,"[""Medroxyprogesterone acetate""]"
megestrol acetate,"[""Megestrol acetate""]"
mephentermine,"[""Mephentermine""]"
mesoridazine,"[""Mesoridazine""]"
orciprenaline,"[""Orciprenaline""]"
metaraminol,"[""Metaraminol""]"
metamfetamine,"[""Metamfetamine""]"
methazolamide,"[""Methazolamide""]"
methdilazine,"[""Methdilazine""]"
methotrexate,"[""Methotrexate""]"
methotrimeprazine,"[""Methotrimeprazine""]"
methoxamine,"[""Methoxamine""]"
methylcellulose,"[""Methylcellulose""]"
methylprednisolone,"[""Methylprednisolone""]"
methylprednisolone topical,"[""Methylprednisolone (topical)""]"
metolazone,"[""Metolazone""]"
midostaurin,"[""Midostaurin""]"
mipomersen,"[""Mipomersen""]"
moxifloxacin,"[""Moxifloxacin""]"
nalidixic acid,"[""Nalidixic acid""]"
nelfinavir,"[""Nelfinavir""]"
niacin,"[""Niacin""]"
nicotinamide,"[""Nicotinamide""]"
norepinephrine,"[""Norepinephrine""]"
norethisterone,"[""Norethisterone""]"
norfloxacin,"[""Norfloxacin""]"
norgestrel,"[""Norgestrel""]"
octreotide,"[""Octreotide""]"
ofloxacin,"[""Ofloxacin""]"
olanzapine,"[""Olanzapine""]"
omacetaxine mepesuccinate,"[""Omacetaxine mepesuccinate""]"
paliperidone,"[""Paliperidone""]"
pancrelipase,"[""Pancrelipase""]"
pasireotide,"[""Pasireotide""]"
pegaspargase,"[""Pegaspargase""]"
peginterferon beta 1a,"[""Peginterferon beta-1a""]"
pegvisomant,"[""Pegvisomant""]"
pentamidine,"[""Pentamidine""]"
perphenazine,"[""Perphenazine""]"
pexidartinib,"[""Pexidartinib""]"
phendimetrazine,"[""Phendimetrazine""]"
phenylephrine,"[""Phenylephrine""]"
phenylpropanolamine,"[""Phenylpropanolamine""]"
phenytoin,"[""Phenytoin""]"
polythiazide,"[""Polythiazide""]"
pramlintide,"[""Pramlintide""]"
prednicarbate topical,"[""Prednicarbate (topical)""]"
