normalized,variants
ferrous sulfate anhydrous,"[""Ferrous sulfate anhydrous""]"
fluvoxamine,"[""Fluvoxamine""]"
fosaprepitant,"[""Fosaprepitant""]"
fostamatinib,"[""Fostamatinib""]"
gentamicin,"[""Gentamicin""]"
iron protein succinylate,"[""Iron protein succinylate""]"
linaclotide,"[""Linaclotide""]"
modafinil,"[""Modafinil""]"
mycophenolate mofetil,"[""Mycophenolate mofetil""]"
netilmicin,"[""Netilmicin""]"
nevirapine,"[""Nevirapine""]"
panitumumab,"[""Panitumumab""]"
paromomycin,"[""Paromomycin""]"
patiromer,"[""Patiromer""]"
plazomicin,"[""Plazomicin""]"
rifampicin,"[""Rifampicin""]"
rifapentine,"[""Rifapentine""]"
riociguat,"[""Riociguat""]"
salsalate,"[""Salsalate""]"
tolevamer,"[""Tolevamer""]"
salicylic acid sodium,"[""Salicylic acid (sodium)""]"
st john s wort,"[""St. John's Wort""]"
stiripentol,"[""Stiripentol""]"
tobramycin,"[""Tobramycin""]"
acitretin,"[""Acitretin""]"
aclidinium,"[""Aclidinium""]"
prucalopride,"[""Prucalopride""]"
ephedrine nasal,"[""Ephedrine (nasal)""]"
epinephrine ophthalmic,"[""Epinephrine (ophthalmic)""]"
epinephrine topical,"[""Epinephrine (topical)""]"
acrivastine,"[""Acrivastine""]"
amiloride,"[""Amiloride""]"
aminolevulinic acid,"[""Aminolevulinic acid""]"
aminolevulinic acid topical,"[""Aminolevulinic acid (topical)""]"
amobarbital,"[""Amobarbital""]"
amoxicillin,"[""Amoxicillin""]"
ampicillin,"[""Ampicillin""]"
balsalazide,"[""Balsalazide""]"
bifidobacterium longum infantis,"[""Bifidobacterium longum infantis""]"
bismuth subcitrate potassium,"[""Bismuth subcitrate potassium""]"
bismuth subgallate,"[""Bismuth subgallate""]"
bismuth subsalicylate,"[""Bismuth subsalicylate""]"
butabarbital,"[""Butabarbital""]"
butalbital,"[""Butalbital""]"
calcium chloride,"[""Calcium chloride""]"
calcium glucoheptonate,"[""Calcium glucoheptonate""]"
carbamazepine,"[""Carbamazepine""]"
carbenicillin,"[""Carbenicillin""]"
vibrio cholerae cvd 103 hgr strain live antigen live,"[""Vibrio cholerae CVD 103-HgR strain live antigen (live)""]"
cloxacillin,"[""Cloxacillin""]"
colestipol,"[""Colestipol""]"
collagenase clostridium histolyticum,"[""Collagenase clostridium histolyticum""]"
dicloxacillin,"[""Dicloxacillin""]"
ethotoin,"[""Ethotoin""]"
tetraferric tricitrate decahydrate,"[""Tetraferric tricitrate decahydrate""]"
indium in 111 oxyquinoline,"[""Indium In-111 oxyquinoline""]"
isosorbide,"[""Isosorbide""]"
lactobacillus acidophilus,"[""Lactobacillus acidophilus""]"
lanthanum carbonate,"[""Lanthanum carbonate""]"
magnesium glycinate,"[""Magnesium glycinate""]"
mephenytoin,"[""Mephenytoin""]"
methylphenobarbital,"[""Methylphenobarbital""]"
meticillin,"[""Meticillin""]"
methohexital,"[""Methohexital""]"
methoxsalen,"[""Methoxsalen""]"
methoxyflurane,"[""Methoxyflurane""]"
methyl aminolevulinate topical,"[""Methyl aminolevulinate (topical)""]"
mezlocillin,"[""Mezlocillin""]"
mycophenolic acid,"[""Mycophenolic acid""]"
nafcillin,"[""Nafcillin""]"
oxacillin,"[""Oxacillin""]"
benzylpenicillin,"[""Benzylpenicillin""]"
benzylpenicillin potassium,"[""Benzylpenicillin (potassium)""]"
benzylpenicillin sodium,"[""Benzylpenicillin (sodium)""]"
phenoxymethylpenicillin,"[""Phenoxymethylpenicillin""]"
pentobarbital,"[""Pentobarbital""]"
phenobarbital,"[""Phenobarbital""]"
piperacillin,"[""Piperacillin""]"
primidone,"[""Primidone""]"
quinapril,"[""Quinapril""]"
rifabutin,"[""Rifabutin""]"
secobarbital,"[""Secobarbital""]"
sodium acetate,"[""Sodium acetate""]"
sodium citrate,"[""Sodium citrate""]"
lactic acid,"[""Lactic acid""]"
spironolactone,"[""Spironolactone""]"
iron sucrose,"[""Iron sucrose""]"
thiopental,"[""Thiopental""]"
ticarcillin,"[""Ticarcillin""]"
tretinoin,"[""Tretinoin""]"
tromethamine,"[""Tromethamine""]"
typhoid vaccine live,"[""Typhoid vaccine (live)""]"
verteporfin,"[""Verteporfin""]"
mesalazine,"[""Mesalazine""]"
olsalazine,"[""Olsalazine""]"
potassium bicarbonate,"[""Potassium bicarbonate""]"
potassium gluconate,"[""Potassium gluconate""]"
sulfasalazine,"[""Sulfasalazine""]"
vancomycin,"[""Vancomycin""]"
ketorolac ophthalmic,"[""Ketorolac (ophthalmic)""]"
prednisolone ophthalmic,"[""Prednisolone (ophthalmic)""]"
acyclovir,"[""Acyclovir""]"
clostridium tetani toxoid antigen formaldehyde inactivated,"[""Clostridium tetani toxoid antigen (formaldehyde inactivated)""]"
budesonide nasal,"[""Budesonide (nasal)""]"
fidaxomicin,"[""Fidaxomicin""]"
adalimumab,"[""Adalimumab""]"
trastuzumab emtansine,"[""Trastuzumab emtansine""]"
atenolol,"[""Atenolol""]"
betaxolol,"[""Betaxolol""]"
betaxolol ophthalmic,"[""Betaxolol (ophthalmic)""]"
bisoprolol,"[""Bisoprolol""]"
carteolol,"[""Carteolol""]"
carteolol ophthalmic,"[""Carteolol (ophthalmic)""]"
carvedilol,"[""Carvedilol""]"
cocaine nasal,"[""Cocaine (nasal)""]"
cocaine topical,"[""Cocaine (topical)""]"
deserpidine,"[""Deserpidine""]"
desflurane,"[""Desflurane""]"
desmopressin,"[""Desmopressin""]"
desvenlafaxine,"[""Desvenlafaxine""]"
enflurane,"[""Enflurane""]"
entacapone,"[""Entacapone""]"
epoprostenol,"[""Epoprostenol""]"
esmolol,"[""Esmolol""]"
guanadrel,"[""Guanadrel""]"
iloprost,"[""Iloprost""]"
isoflurane,"[""Isoflurane""]"
labetalol,"[""Labetalol""]"
levobetaxolol ophthalmic,"[""Levobetaxolol (ophthalmic)""]"
levobunolol ophthalmic,"[""Levobunolol (ophthalmic)""]"
levodopa,"[""Levodopa""]"
loxapine,"[""Loxapine""]"
mecamylamine,"[""Mecamylamine""]"
methyldopa,"[""Methyldopa""]"
metipranolol ophthalmic,"[""Metipranolol (ophthalmic)""]"
metoprolol,"[""Metoprolol""]"
molindone,"[""Molindone""]"
nadolol,"[""Nadolol""]"
nebivolol,"[""Nebivolol""]"
opicapone,"[""Opicapone""]"
penbutolol,"[""Penbutolol""]"
pindolol,"[""Pindolol""]"
propranolol,"[""Propranolol""]"
rasagiline,"[""Rasagiline""]"
reserpine,"[""Reserpine""]"
selexipag,"[""Selexipag""]"
tapentadol,"[""Tapentadol""]"
thiothixene,"[""Thiothixene""]"
timolol,"[""Timolol""]"
timolol ophthalmic,"[""Timolol (ophthalmic)""]"
tolcapone,"[""Tolcapone""]"
treprostinil,"[""Treprostinil""]"
antihemophilic factor human recombinant,"[""Antihemophilic factor, human recombinant""]"
pegvaliase,"[""Pegvaliase""]"
flunisolide,"[""Flunisolide""]"
afatinib,"[""Afatinib""]"
chenodeoxycholic acid,"[""Chenodeoxycholic acid""]"
tegaserod,"[""Tegaserod""]"
agalsidase beta,"[""Agalsidase beta""]"
migalastat,"[""Migalastat""]"
human adenovirus e serotype 4 strain cl 68578 antigen,"[""Human adenovirus e serotype 4 strain cl-68578 antigen""]"
aldesleukin,"[""Aldesleukin""]"
alefacept,"[""Alefacept""]"
alemtuzumab,"[""Alemtuzumab""]"
aliskiren,"[""Aliskiren""]"
ambenonium,"[""Ambenonium""]"
amifampridine,"[""Amifampridine""]"
amlodipine,"[""Amlodipine""]"
anakinra,"[""Anakinra""]"
anthrax vaccine,"[""Anthrax vaccine""]"
atezolizumab,"[""Atezolizumab""]"
azilsartan medoxomil,"[""Azilsartan medoxomil""]"
baricitinib,"[""Baricitinib""]"
bacillus calmette guerin substrain tice live antigen,"[""Bacillus calmette-guerin substrain tice live antigen""]"
bempedoic acid,"[""Bempedoic acid""]"
benazepril,"[""Benazepril""]"
bexarotene,"[""Bexarotene""]"
boceprevir,"[""Boceprevir""]"
bosentan,"[""Bosentan""]"
bromfenac,"[""Bromfenac""]"
canakinumab,"[""Canakinumab""]"
candida albicans,"[""Candida albicans""]"
captopril,"[""Captopril""]"
frangula purshiana bark,"[""Frangula purshiana bark""]"
celecoxib,"[""Celecoxib""]"
cemiplimab,"[""Cemiplimab""]"
cenobamate,"[""Cenobamate""]"
certolizumab pegol,"[""Certolizumab pegol""]"
vibrio cholerae cvd 103 hgr strain live antigen,"[""Vibrio cholerae CVD 103-HgR strain live antigen""]"
cholestyramine,"[""Cholestyramine""]"
cladribine,"[""Cladribine""]"
clevidipine,"[""Clevidipine""]"
clonidine,"[""Clonidine""]"
cobicistat,"[""Cobicistat""]"
coccidioides immitis spherule,"[""Coccidioides immitis spherule""]"
colesevelam,"[""Colesevelam""]"
denosumab,"[""Denosumab""]"
desirudin,"[""Desirudin""]"
diflunisal,"[""Diflunisal""]"
diltiazem,"[""Diltiazem""]"
dimethyl fumarate,"[""Dimethyl fumarate""]"
dinutuximab,"[""Dinutuximab""]"
diroximel fumarate,"[""Diroximel fumarate""]"
doxazosin,"[""Doxazosin""]"
durvalumab,"[""Durvalumab""]"
duvelisib,"[""Duvelisib""]"
edrophonium,"[""Edrophonium""]"
efalizumab,"[""Efalizumab""]"
enalapril,"[""Enalapril""]"
eplerenone,"[""Eplerenone""]"
eprosartan,"[""Eprosartan""]"
etanercept,"[""Etanercept""]"
felodipine,"[""Felodipine""]"
fenoldopam,"[""Fenoldopam""]"
fluoxymesterone,"[""Fluoxymesterone""]"
fosinopril,"[""Fosinopril""]"
gallium chloride ga 67,"[""Gallium chloride Ga-67""]"
golimumab,"[""Golimumab""]"
guanabenz,"[""Guanabenz""]"
guanfacine,"[""Guanfacine""]"
hepatitis a vaccine,"[""Hepatitis A Vaccine""]"
hepatitis b vaccine recombinant,"[""Hepatitis B Vaccine (Recombinant)""]"
human papillomavirus type 11 l1 capsid protein antigen,"[""Human papillomavirus type 11 L1 capsid protein antigen""]"
hyaluronidase,"[""Hyaluronidase""]"
hydralazine,"[""Hydralazine""]"
imatinib,"[""Imatinib""]"
infliximab,"[""Infliximab""]"
influenza a virus a california 7 2009 h1n1 like antigen propiolactone inactivated,"[""Influenza A virus A/California/7/2009 (H1N1)-like antigen (propiolactone inactivated)""]"
influenza a virus a vietnam 1194 2004 h5n1 antigen formaldehyde inactivated,"[""Influenza A virus A/Vietnam/1194/2004 (H5N1) antigen (formaldehyde inactivated)""]"
iohexol,"[""Iohexol""]"
iopamidol,"[""Iopamidol""]"
ipilimumab,"[""Ipilimumab""]"
irbesartan,"[""Irbesartan""]"
isavuconazonium,"[""Isavuconazonium""]"
isradipine,"[""Isradipine""]"
ivacaftor,"[""Ivacaftor""]"
larotrectinib,"[""Larotrectinib""]"
letermovir,"[""Letermovir""]"
levamlodipine,"[""Levamlodipine""]"
licorice,"[""Licorice""]"
lisinopril,"[""Lisinopril""]"
lonafarnib,"[""Lonafarnib""]"
lorlatinib,"[""Lorlatinib""]"
losartan,"[""Losartan""]"
lusutrombopag,"[""Lusutrombopag""]"
lyme disease vaccine recombinant ospa,"[""Lyme disease vaccine (recombinant OspA)""]"
macimorelin,"[""Macimorelin""]"
measles virus vaccine live attenuated,"[""Measles virus vaccine live attenuated""]"
meloxicam,"[""Meloxicam""]"
meningococcal polysaccharide vaccine group c,"[""Meningococcal polysaccharide vaccine group C""]"
methyltestosterone,"[""Methyltestosterone""]"
minoxidil,"[""Minoxidil""]"
moexipril,"[""Moexipril""]"
monomethyl fumarate,"[""Monomethyl fumarate""]"
mumps virus strain b level jeryl lynn live antigen,"[""Mumps virus strain B level jeryl lynn live antigen""]"
natalizumab,"[""Natalizumab""]"
nefazodone,"[""Nefazodone""]"
neostigmine,"[""Neostigmine""]"
nicardipine,"[""Nicardipine""]"
nisoldipine,"[""Nisoldipine""]"
nitroprusside,"[""Nitroprusside""]"
nivolumab,"[""Nivolumab""]"
ocrelizumab,"[""Ocrelizumab""]"
olmesartan,"[""Olmesartan""]"
oxandrolone,"[""Oxandrolone""]"
oxcarbazepine,"[""Oxcarbazepine""]"
oxymetholone,"[""Oxymetholone""]"
pembrolizumab,"[""Pembrolizumab""]"
perindopril,"[""Perindopril""]"
phenylbutazone,"[""Phenylbutazone""]"
poliovirus type 1 antigen formaldehyde inactivated,"[""Poliovirus type 1 antigen (formaldehyde inactivated)""]"
prazosin,"[""Prazosin""]"
pyridostigmine,"[""Pyridostigmine""]"
ramipril,"[""Ramipril""]"
rilonacept,"[""Rilonacept""]"
rofecoxib,"[""Rofecoxib""]"
roflumilast,"[""Roflumilast""]"
romosozumab,"[""Romosozumab""]"
rotavirus vaccine,"[""Rotavirus vaccine""]"
rubella virus vaccine,"[""Rubella virus vaccine""]"
rufinamide,"[""Rufinamide""]"
pfizer biontech covid 19 vaccine,"[""Pfizer-BioNTech Covid-19 Vaccine""]"
sipuleucel t,"[""Sipuleucel-T""]"
smallpox vaccinia vaccine live,"[""Smallpox (Vaccinia) Vaccine, Live""]"
iodide i 123,"[""Iodide I-123""]"
iodide i 131,"[""Iodide I-131""]"
phenylbutyric acid,"[""Phenylbutyric acid""]"
stanozolol,"[""Stanozolol""]"
talimogene laherparepvec,"[""Talimogene laherparepvec""]"
tazemetostat,"[""Tazemetostat""]"
telaprevir,"[""Telaprevir""]"
telbivudine,"[""Telbivudine""]"
telmisartan,"[""Telmisartan""]"
telotristat ethyl,"[""Telotristat ethyl""]"
terazosin,"[""Terazosin""]"
testosterone,"[""Testosterone""]"
testosterone topical,"[""Testosterone (topical)""]"
ticlopidine,"[""Ticlopidine""]"
tofacitinib,"[""Tofacitinib""]"
trandolapril,"[""Trandolapril""]"
trichophyton mentagrophytes,"[""Trichophyton mentagrophytes""]"
trimethaphan,"[""Trimethaphan""]"
troleandomycin,"[""Troleandomycin""]"
tuberculin purified protein derivative,"[""Tuberculin purified protein derivative""]"
tucatinib,"[""Tucatinib""]"
typhoid vaccine inactivated,"[""Typhoid vaccine (inactivated)""]"
upadacitinib,"[""Upadacitinib""]"
ustekinumab,"[""Ustekinumab""]"
valdecoxib,"[""Valdecoxib""]"
valsartan,"[""Valsartan""]"
varicella zoster vaccine recombinant,"[""Varicella Zoster Vaccine (Recombinant)""]"
verapamil,"[""Verapamil""]"
vigabatrin,"[""Vigabatrin""]"
vitamin e,"[""Vitamin E""]"
voxelotor,"[""Voxelotor""]"
yellow fever vaccine,"[""Yellow Fever Vaccine""]"
zinc chloride,"[""Zinc chloride""]"
loratadine,"[""Loratadine""]"
albendazole,"[""Albendazole""]"
metronidazole topical,"[""Metronidazole (topical)""]"
alectinib,"[""Alectinib""]"
cholecalciferol,"[""Cholecalciferol""]"
calcifediol,"[""Calcifediol""]"
calcipotriol topical,"[""Calcipotriol (topical)""]"
calcitriol,"[""Calcitriol""]"
dihydrotachysterol,"[""Dihydrotachysterol""]"
doxercalciferol,"[""Doxercalciferol""]"
erdafitinib,"[""Erdafitinib""]"
ergocalciferol,"[""Ergocalciferol""]"
felbamate,"[""Felbamate""]"
paricalcitol,"[""Paricalcitol""]"
sevelamer,"[""Sevelamer""]"
alfentanil,"[""Alfentanil""]"
fondaparinux,"[""Fondaparinux""]"
fosfomycin,"[""Fosfomycin""]"
frovatriptan,"[""Frovatriptan""]"
gabapentin,"[""Gabapentin""]"
gallium nitrate,"[""Gallium nitrate""]"
ganciclovir,"[""Ganciclovir""]"
gemfibrozil,"[""Gemfibrozil""]"
phenyltoloxamine,"[""Phenyltoloxamine""]"
nitazoxanide,"[""Nitazoxanide""]"
zonisamide,"[""Zonisamide""]"
cetirizine,"[""Cetirizine""]"
allopurinol,"[""Allopurinol""]"
almotriptan,"[""Almotriptan""]"
cephalexin,"[""Cephalexin""]"
daclatasvir,"[""Daclatasvir""]"
dalfampridine,"[""Dalfampridine""]"
diatrizoate,"[""Diatrizoate""]"
diamorphine,"[""Diamorphine""]"
iodipamide,"[""Iodipamide""]"
iodixanol,"[""Iodixanol""]"
iopromide,"[""Iopromide""]"
iothalamic acid,"[""Iothalamic acid""]"
ioversol,"[""Ioversol""]"
ioxilan,"[""Ioxilan""]"
lamotrigine,"[""Lamotrigine""]"
olaparib,"[""Olaparib""]"
ospemifene,"[""Ospemifene""]"
risdiplam,"[""Risdiplam""]"
tafenoquine,"[""Tafenoquine""]"
topiramate,"[""Topiramate""]"
trimethoprim,"[""Trimethoprim""]"
aminoglutethimide,"[""Aminoglutethimide""]"
pregabalin,"[""Pregabalin""]"
ripretinib,"[""Ripretinib""]"
vilazodone,"[""Vilazodone""]"
givosiran,"[""Givosiran""]"
mexiletine,"[""Mexiletine""]"
niclosamide,"[""Niclosamide""]"
thiabendazole,"[""Thiabendazole""]"
zileuton,"[""Zileuton""]"
rifaximin,"[""Rifaximin""]"
coagulation factor ix human,"[""Coagulation Factor IX Human""]"
alprazolam,"[""Alprazolam""]"
teduglutide,"[""Teduglutide""]"
alprostadil,"[""Alprostadil""]"
sapropterin,"[""Sapropterin""]"
sumatriptan,"[""Sumatriptan""]"
tetracaine ophthalmic,"[""Tetracaine (ophthalmic)""]"
alteplase,"[""Alteplase""]"
altretamine,"[""Altretamine""]"
pyridoxine,"[""Pyridoxine""]"
butorphanol,"[""Butorphanol""]"
dezocine,"[""Dezocine""]"
hydrocodone,"[""Hydrocodone""]"
hydromorphone,"[""Hydromorphone""]"
levorphanol,"[""Levorphanol""]"
meperidine,"[""Meperidine""]"
methylnaltrexone,"[""Methylnaltrexone""]"
nalbuphine,"[""Nalbuphine""]"
oxycodone,"[""Oxycodone""]"
oxymorphone,"[""Oxymorphone""]"
pentazocine,"[""Pentazocine""]"
venetoclax,"[""Venetoclax""]"
amantadine,"[""Amantadine""]"
diclofenac topical,"[""Diclofenac (topical)""]"
lidocaine topical,"[""Lidocaine (topical)""]"
human botulinum neurotoxin a b immune globulin,"[""Human botulinum neurotoxin A/B immune globulin""]"
chlorambucil,"[""Chlorambucil""]"
cidofovir,"[""Cidofovir""]"
cyclophosphamide,"[""Cyclophosphamide""]"
human cytomegalovirus immune globulin,"[""Human cytomegalovirus immune globulin""]"
etidronic acid,"[""Etidronic acid""]"
flucytosine,"[""Flucytosine""]"
ibandronate,"[""Ibandronate""]"
ifosfamide,"[""Ifosfamide""]"
human immunoglobulin g intravenous,"[""Human immunoglobulin G (intravenous)""]"
human immunoglobulin g intravenous and subcutaneous,"[""Human immunoglobulin G (intravenous and subcutaneous)""]"
inotersen,"[""Inotersen""]"
melphalan,"[""Melphalan""]"
micafungin,"[""Micafungin""]"
pamidronic acid,"[""Pamidronic acid""]"
radium ra 223 dichloride,"[""Radium Ra 223 dichloride""]"
human rho d immune globulin,"[""Human Rho(D) immune globulin""]"
sodium phosphate monobasic p32,"[""Sodium phosphate, monobasic (p32)""]"
strontium chloride sr 89,"[""Strontium chloride Sr-89""]"
uracil mustard,"[""Uracil mustard""]"
valganciclovir,"[""Valganciclovir""]"
zoledronic acid,"[""Zoledronic acid""]"
ambrisentan,"[""Ambrisentan""]"
amifostine,"[""Amifostine""]"
neomycin topical,"[""Neomycin (topical)""]"
doxycycline topical,"[""Doxycycline (topical)""]"
minocycline topical,"[""Minocycline (topical)""]"
tetracycline topical,"[""Tetracycline (topical)""]"
aminosalicylic acid,"[""Aminosalicylic acid""]"
chlordiazepoxide,"[""Chlordiazepoxide""]"
atorvastatin,"[""Atorvastatin""]"
demeclocycline,"[""Demeclocycline""]"
oxytetracycline,"[""Oxytetracycline""]"
sarecycline,"[""Sarecycline""]"
clavulanic acid,"[""Clavulanic acid""]"
glutamic acid,"[""Glutamic acid""]"
arbutamine,"[""Arbutamine""]"
azatadine,"[""Azatadine""]"
belladonna,"[""Belladonna""]"
benzatropine,"[""Benzatropine""]"
bethanechol,"[""Bethanechol""]"
biperiden,"[""Biperiden""]"
brexanolone,"[""Brexanolone""]"
brompheniramine,"[""Brompheniramine""]"
carbamoylcholine ophthalmic,"[""Carbamoylcholine (ophthalmic)""]"
carbinoxamine,"[""Carbinoxamine""]"
cevimeline,"[""Cevimeline""]"
chlorcyclizine,"[""Chlorcyclizine""]"
clemastine,"[""Clemastine""]"
cyclizine,"[""Cyclizine""]"
cyclobenzaprine,"[""Cyclobenzaprine""]"
cyproheptadine,"[""Cyproheptadine""]"
darifenacin,"[""Darifenacin""]"
demecarium ophthalmic,"[""Demecarium (ophthalmic)""]"
dexbrompheniramine,"[""Dexbrompheniramine""]"
dimenhydrinate,"[""Dimenhydrinate""]"
diphenhydramine,"[""Diphenhydramine""]"
doxylamine,"[""Doxylamine""]"
echothiophate ophthalmic,"[""Echothiophate (ophthalmic)""]"
fesoterodine,"[""Fesoterodine""]"
flavoxate,"[""Flavoxate""]"
guanidine,"[""Guanidine""]"
ipratropium,"[""Ipratropium""]"
ipratropium nasal,"[""Ipratropium (nasal)""]"
isoflurophate ophthalmic,"[""Isoflurophate (ophthalmic)""]"
meclizine,"[""Meclizine""]"
nitrofurantoin,"[""Nitrofurantoin""]"
nitroglycerin,"[""Nitroglycerin""]"
olopatadine nasal,"[""Olopatadine (nasal)""]"
orphenadrine,"[""Orphenadrine""]"
oxybutynin,"[""Oxybutynin""]"
phenindamine,"[""Phenindamine""]"
phenylephrine ophthalmic,"[""Phenylephrine (ophthalmic)""]"
physostigmine ophthalmic,"[""Physostigmine (ophthalmic)""]"
pilocarpine,"[""Pilocarpine""]"
pilocarpine ophthalmic,"[""Pilocarpine (ophthalmic)""]"
procyclidine,"[""Procyclidine""]"
mepyramine,"[""Mepyramine""]"
remifentanil,"[""Remifentanil""]"
revefenacin,"[""Revefenacin""]"
botulinum toxin type b,"[""Botulinum Toxin Type B""]"
secretin human,"[""Secretin human""]"
sufentanil,"[""Sufentanil""]"
tiotropium,"[""Tiotropium""]"
tolterodine,"[""Tolterodine""]"
trihexyphenidyl,"[""Trihexyphenidyl""]"
tripelennamine,"[""Tripelennamine""]"
triprolidine,"[""Triprolidine""]"
umeclidinium,"[""Umeclidinium""]"
omega 3 fatty acids,"[""Omega-3 fatty acids""]"
misoprostol,"[""Misoprostol""]"
apraclonidine,"[""Apraclonidine""]"
brimonidine ophthalmic,"[""Brimonidine (ophthalmic)""]"
brimonidine topical,"[""Brimonidine (topical)""]"
cabozantinib,"[""Cabozantinib""]"
elagolix,"[""Elagolix""]"
esketamine,"[""Esketamine""]"
ibrutinib,"[""Ibrutinib""]"
istradefylline,"[""Istradefylline""]"
levocetirizine,"[""Levocetirizine""]"
perflutren,"[""Perflutren""]"
ulipristal,"[""Ulipristal""]"
prilocaine topiclal,"[""Prilocaine (topiclal)""]"
fenofibrate,"[""Fenofibrate""]"
antithrombin iii human,"[""Antithrombin III human""]"
antithrombin alfa,"[""Antithrombin Alfa""]"
antilymphocyte immunoglobulin horse,"[""Antilymphocyte immunoglobulin (horse)""]"
antithymocyte immunoglobulin rabbit,"[""Antithymocyte immunoglobulin (rabbit)""]"
homatropine,"[""Homatropine""]"
apixaban,"[""Apixaban""]"
amyl nitrite,"[""Amyl Nitrite""]"
blinatumomab,"[""Blinatumomab""]"
cefiderocol,"[""Cefiderocol""]"
chloral hydrate,"[""Chloral hydrate""]"
chlormezanone,"[""Chlormezanone""]"
clobazam,"[""Clobazam""]"
clonazepam,"[""Clonazepam""]"
clorazepic acid,"[""Clorazepic acid""]"
cycloserine,"[""Cycloserine""]"
diazepam,"[""Diazepam""]"
valproic acid,"[""Valproic acid""]"
ertapenem,"[""Ertapenem""]"
estazolam,"[""Estazolam""]"
eszopiclone,"[""Eszopiclone""]"
ethchlorvynol,"[""Ethchlorvynol""]"
flurazepam,"[""Flurazepam""]"
ginkgo biloba,"[""Ginkgo biloba""]"
halazepam,"[""Halazepam""]"
interferon alfa 2a recombinant,"[""Interferon alfa-2a, Recombinant""]"
interferon alfa 2b,"[""Interferon alfa-2b""]"
interferon alfa n1,"[""Interferon alfa-n1""]"
interferon alfa n3,"[""Interferon alfa-n3""]"
interferon alfacon 1,"[""Interferon alfacon-1""]"
interferon gamma 1b,"[""Interferon gamma-1b""]"
iobenguane i 131,"[""Iobenguane (I-131)""]"
ioflupane i 123,"[""Ioflupane I-123""]"
isosorbide dinitrate,"[""Isosorbide dinitrate""]"
isosorbide mononitrate,"[""Isosorbide mononitrate""]"
lindane,"[""Lindane""]"
lorazepam,"[""Lorazepam""]"
meprobamate,"[""Meprobamate""]"
meropenem,"[""Meropenem""]"
muromonab,"[""Muromonab""]"
nelarabine,"[""Nelarabine""]"
nimodipine,"[""Nimodipine""]"
oxamniquine,"[""Oxamniquine""]"
oxazepam,"[""Oxazepam""]"
paraldehyde,"[""Paraldehyde""]"
paroxetine,"[""Paroxetine""]"
peginterferon alfa 2a,"[""Peginterferon alfa-2a""]"
peginterferon alfa 2b,"[""Peginterferon alfa-2b""]"
pemoline,"[""Pemoline""]"
phenoxybenzamine,"[""Phenoxybenzamine""]"
phentolamine,"[""Phentolamine""]"
piperazine,"[""Piperazine""]"
pirfenidone,"[""Pirfenidone""]"
quazepam,"[""Quazepam""]"
remimazolam,"[""Remimazolam""]"
rimantadine,"[""Rimantadine""]"
silodosin,"[""Silodosin""]"
sodium oxybate,"[""Sodium oxybate""]"
tamsulosin,"[""Tamsulosin""]"
temazepam,"[""Temazepam""]"
thiotepa,"[""Thiotepa""]"
vortioxetine,"[""Vortioxetine""]"
zaleplon,"[""Zaleplon""]"
zolpidem,"[""Zolpidem""]"
apremilast,"[""Apremilast""]"
avanafil,"[""Avanafil""]"
avapritinib,"[""Avapritinib""]"
bupivacaine,"[""Bupivacaine""]"
buspirone,"[""Buspirone""]"
busulfan,"[""Busulfan""]"
cabazitaxel,"[""Cabazitaxel""]"
cerivastatin,"[""Cerivastatin""]"
chloramphenicol,"[""Chloramphenicol""]"
cilostazol,"[""Cilostazol""]"
cobimetinib,"[""Cobimetinib""]"
colchicine,"[""Colchicine""]"
dapsone,"[""Dapsone""]"
darolutamide,"[""Darolutamide""]"
docetaxel,"[""Docetaxel""]"
doravirine,"[""Doravirine""]"
dutasteride,"[""Dutasteride""]"
eletriptan,"[""Eletriptan""]"
eslicarbazepine,"[""Eslicarbazepine""]"
ethosuximide,"[""Ethosuximide""]"
etoposide,"[""Etoposide""]"
fluticasone,"[""Fluticasone""]"
fluticasone nasal,"[""Fluticasone (nasal)""]"
fluvastatin,"[""Fluvastatin""]"
griseofulvin,"[""Griseofulvin""]"
irinotecan,"[""Irinotecan""]"
irinotecan liposomal,"[""Irinotecan (liposomal)""]"
ivermectin,"[""Ivermectin""]"
ixabepilone,"[""Ixabepilone""]"
lesinurad,"[""Lesinurad""]"
letrozole,"[""Letrozole""]"
levobupivacaine,"[""Levobupivacaine""]"
lovastatin,"[""Lovastatin""]"
lurbinectedin,"[""Lurbinectedin""]"
macitentan,"[""Macitentan""]"
maraviroc,"[""Maraviroc""]"
mirabegron,"[""Mirabegron""]"
mitotane,"[""Mitotane""]"
paclitaxel protein bound,"[""Paclitaxel (protein-bound)""]"
palbociclib,"[""Palbociclib""]"
pemigatinib,"[""Pemigatinib""]"
pimecrolimus topical,"[""Pimecrolimus (topical)""]"
polatuzumab vedotin,"[""Polatuzumab vedotin""]"
pralsetinib,"[""Pralsetinib""]"
retapamulin topical,"[""Retapamulin (topical)""]"
rimegepant,"[""Rimegepant""]"
rivaroxaban,"[""Rivaroxaban""]"
ropivacaine,"[""Ropivacaine""]"
ruxolitinib,"[""Ruxolitinib""]"
selumetinib,"[""Selumetinib""]"
sildenafil,"[""Sildenafil""]"
sulfinpyrazone,"[""Sulfinpyrazone""]"
suvorexant,"[""Suvorexant""]"
tadalafil,"[""Tadalafil""]"
tasimelteon,"[""Tasimelteon""]"
teniposide,"[""Teniposide""]"
tiagabine,"[""Tiagabine""]"
